iter	Logloss
0	0.6717990723
1	0.6518964844
2	0.6342773438
3	0.6163605957
4	0.5997237549
5	0.584447998
6	0.5702630615
7	0.5568884277
8	0.5452591553
9	0.5344581299
10	0.5248782959
11	0.5153474731
12	0.505479248
13	0.4963803711
14	0.4888140869
15	0.4806281433
16	0.4743486938
17	0.4664746704
18	0.4604096985
19	0.453444458
20	0.4474595947
21	0.4429678345
22	0.4374403992
23	0.4332181091
24	0.4299132996
25	0.4246442566
26	0.42
27	0.4162372437
28	0.4127687073
29	0.4086534424
30	0.4053121948
31	0.4029046021
32	0.3997800598
33	0.397305481
34	0.3944202881
35	0.3923448792
36	0.3904857788
37	0.3881734924
38	0.3861086426
39	0.3839888916
40	0.3823494873
41	0.3805026245
42	0.3783821106
43	0.3765631714
44	0.3744996643
45	0.3721741943
46	0.3701386719
47	0.3687965698
48	0.3676630859
49	0.3665614624
50	0.3653719482
51	0.3642857361
52	0.3631907654
53	0.3620332947
54	0.3603858948
55	0.3592525024
56	0.3577298889
57	0.3569136963
58	0.3557507935
59	0.355295105
60	0.354043335
61	0.3531933289
62	0.3524098511
63	0.351539032
64	0.3502762146
65	0.349476593
66	0.3487241211
67	0.3476876831
68	0.3470551758
69	0.3465465393
70	0.3457037354
71	0.3450579224
72	0.3443851624
73	0.3435598145
74	0.3429608154
75	0.3424589844
76	0.3420687866
77	0.3413165894
78	0.3408464966
79	0.3403461914
80	0.3398393555
81	0.3391008911
82	0.3386184692
83	0.3382383728
84	0.337528595
85	0.3371458435
86	0.3367141724
87	0.3360370483
88	0.3357717285
89	0.3354550781
90	0.3350562744
91	0.3344439087
92	0.3340083618
93	0.3336182861
94	0.3332550354
95	0.3329501038
96	0.3325903931
97	0.3319491577
98	0.3315404663
99	0.3312427368
100	0.33092099
101	0.3304541016
102	0.330197876
103	0.3298480835
104	0.3293800354
105	0.3290896301
106	0.3288065491
107	0.3286083984
108	0.3283857727
109	0.3280311279
110	0.3276125183
111	0.3272976074
112	0.3270354919
113	0.3267341614
114	0.3262956848
115	0.3259562378
116	0.3257356873
117	0.3254233093
118	0.3250947266
119	0.3249812012
120	0.3245776978
121	0.3243204346
122	0.3241794434
123	0.3241048584
124	0.3238329773
125	0.323500824
126	0.3233043213
127	0.3231215515
128	0.3228477173
129	0.3225864258
130	0.3223575439
131	0.3221095581
132	0.3219289246
133	0.321717926
134	0.3214490051
135	0.3212698059
136	0.3210891113
137	0.3208158875
138	0.3205941772
139	0.3204135132
140	0.3201628418
141	0.3200120239
142	0.3198516846
143	0.319703125
144	0.3195301514
145	0.3193551636
146	0.3193031921
147	0.318955719
148	0.3187389526
149	0.3186263123
150	0.3185214233
151	0.318390686
152	0.3181129761
153	0.3180097656
154	0.3177329712
155	0.3174194641
156	0.3171994934
157	0.316963623
158	0.3166611328
159	0.3163485107
160	0.3161890259
161	0.3160210571
162	0.3159154968
163	0.3157493896
164	0.315500885
165	0.3153574829
166	0.3152139587
167	0.3150175781
168	0.3147462463
169	0.3146029968
170	0.3144286194
171	0.3142329102
172	0.3141462402
173	0.3139078979
174	0.3137722778
175	0.3135854797
176	0.3134615784
177	0.3133509521
178	0.3132433777
179	0.3130698242
180	0.3129328003
181	0.3127634583
182	0.3126541443
183	0.3125375977
184	0.3124501953
185	0.3122348022
186	0.312096344
187	0.3119560547
188	0.3118359985
189	0.3117355347
190	0.3116017456
191	0.3113186951
192	0.3111179199
193	0.310851532
194	0.3106551208
195	0.3104951172
196	0.3103244324
197	0.3102002563
198	0.3100420532
199	0.3098963623
200	0.3097305298
201	0.3095527344
202	0.3093296814
203	0.3091991272
204	0.309056488
205	0.3089224548
206	0.3088070984
207	0.3086959229
208	0.3086142578
209	0.3083959961
210	0.3081734619
211	0.3079986877
212	0.3078606567
213	0.3077189331
214	0.3075610657
215	0.307444458
216	0.3073313599
217	0.3072059631
218	0.3071664124
219	0.3070474548
220	0.3068659668
221	0.3066567688
222	0.3065815125
223	0.3063766174
224	0.3062447205
225	0.306094696
226	0.3059378052
227	0.3056994934
228	0.3056447449
229	0.3055797729
230	0.3054237366
231	0.3053520203
232	0.3052621155
233	0.3051396484
234	0.3049752197
235	0.3047979431
236	0.3046843567
237	0.3045313721
238	0.3043502808
239	0.3042216187
240	0.3039975586
241	0.3038909302
242	0.3038063354
243	0.3037120972
244	0.3035964966
245	0.3034382019
246	0.3033482056
247	0.3032732849
248	0.3031540833
249	0.3030250244
250	0.3028639526
251	0.3026547241
252	0.302572998
253	0.3024735107
254	0.3023980713
255	0.3022524109
256	0.3021299438
257	0.3019719849
258	0.3017897339
259	0.3016452026
260	0.3014763794
261	0.3013258667
262	0.3012441101
263	0.3011256714
264	0.3009908447
265	0.300869751
266	0.3007691345
267	0.3006940308
268	0.3006016235
269	0.3004877319
270	0.3003216248
271	0.300192627
272	0.3000543213
273	0.2999000244
274	0.2997577515
275	0.2995985107
276	0.2994564209
277	0.2993421021
278	0.2991766357
279	0.2990270386
280	0.2989009399
281	0.2988434448
282	0.2987000122
283	0.2986180115
284	0.2985453186
285	0.2983666687
286	0.2982144775
287	0.2980452576
288	0.297884491
289	0.2977898865
290	0.297629425
291	0.2975375977
292	0.2974099426
293	0.2972950134
294	0.2971628113
295	0.2971080933
296	0.2969892273
297	0.2968396301
298	0.2967562256
299	0.2966828308
300	0.2965870667
301	0.2964790344
302	0.2963565674
303	0.29625354
304	0.296124176
305	0.2961095581
306	0.2959815063
307	0.2959301758
308	0.2957744141
309	0.2956560669
310	0.2954854431
311	0.2953383789
312	0.2952278442
313	0.2951787109
314	0.2950754395
315	0.2950018311
316	0.2949125366
317	0.2947939453
318	0.2945596924
319	0.2944576721
320	0.2943315735
321	0.2941665649
322	0.2940677185
323	0.2939379883
324	0.2937944946
325	0.2937271729
326	0.2936257629
327	0.2935369873
328	0.2934954529
329	0.2933399048
330	0.2932034302
331	0.2931410828
332	0.2930009766
333	0.2928443604
334	0.2926618652
335	0.2925831299
336	0.2924655762
337	0.2923336487
338	0.2922591553
339	0.2921135864
340	0.2920142517
341	0.2919245605
342	0.2918097839
343	0.2917053833
344	0.2916013794
345	0.2914925537
346	0.2913507385
347	0.2912091675
